mass_msun,lifetime_myr,cburn_start_myr,cburn_end_myr,cburn_duration_kyr,cburn_max_lc,rsg_duration_myr,rsg_teff_max_k,rsg_logl_min,cburn_rsg_duration_kyr,lc_threshold,zip_member
12.0,17.479885,17.469609,17.479885,10.271,7505.73,0.471392,4000,4.5,10.271,0.001,Z0.017Y0.279_ROT0.00_M12.0.TAB
14.0,14.046928,14.041216,14.046924,5.709,1875.73,0.996138,4000,4.5,5.709,0.001,Z0.017Y0.279_ROT0.00_M14.0.TAB
16.0,11.648208,11.644483,11.648208,3.725,3218.53,0.488683,4000,4.5,3.725,0.001,Z0.017Y0.279_ROT0.00_M16.0.TAB
18.0,10.000437,9.997721,10.000437,2.716,635.053,0.369315,4000,4.5,2.716,0.001,Z0.017Y0.279_ROT0.00_M18.0.TAB
20.0,8.903541,8.901611,8.903541,1.930,584.729,0.635085,4000,4.5,1.930,0.001,Z0.017Y0.279_ROT0.00_M20.0.TAB
22.0,8.004455,8.002954,8.004454,1.500,1099.87,0.576801,4000,4.5,1.500,0.001,Z0.017Y0.279_ROT0.00_M22.0.TAB
24.0,7.278483,7.277318,7.278483,1.164,908.047,0.517110,4000,4.5,1.164,0.001,Z0.017Y0.279_ROT0.00_M24.0.TAB
26.0,6.768593,6.767637,6.768592,0.955,2541.39,0.484700,4000,4.5,0.955,0.001,Z0.017Y0.279_ROT0.00_M26.0.TAB
28.0,6.376573,6.375795,6.376573,0.777,7197.44,0.454160,4000,4.5,0.777,0.001,Z0.017Y0.279_ROT0.00_M28.0.TAB
30.0,5.982859,5.982160,5.982858,0.698,6905.94,0.000000,4000,4.5,0.000,0.001,Z0.017Y0.279_ROT0.00_M30.0.TAB
35.0,5.308129,5.307760,5.308129,0.369,148561,0.000000,4000,4.5,0.000,0.001,Z0.017Y0.279_ROT0.00_M35.0.TAB

